"Longitude","Latitude","UserID","Genus","Family","DBH","Inventory_Date","Species","Common_Name","Condition","Tree_Height","Crown_Width_NS","Crown_Width_EW","Crown_Base_Height","Collected_By","Park","Scientific_Name","Functional_Type","Mature_Size","Native","Edible","Nuisance","Structural_Value","Carbon_Storage_lb","Carbon_Storage_value","Carbon_Sequestration_lb","Carbon_Sequestration_value","Stormwater_ft","Stormwater_value","Pollution_Removal_value","Pollution_Removal_oz","Total_Annual_Services","Origin","Species_factoid"
-122.693640035827,45.5749068345132,"1","Pseudotsuga","Pinaceae",37.4,2017-05-09,"PSME","Douglas-fir","Fair",105,44,57,4,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",10101.06,3223.3,209.07,36.8,2.39,150.3,10.05,18.25,40.4,30.69,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.69381044584,45.5748918786227,"2","Pseudotsuga","Pinaceae",32.5,2017-05-09,"PSME","Douglas-fir","Fair",94,49,45,4,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",7900.55,2460.8,159.62,31.3,2.03,133,8.89,16.15,35.8,27.06,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.694185642085,45.5749263593025,"3","Crataegus","Rosaceae",9.7,2017-05-09,"CRLA","Lavalle hawthorn","Fair",23,28,27,3,"staff","Gammans Park","Crataegus x lavalleei","BD","S","No","","",1110.81,310.3,20.13,14.8,0.96,35.4,2.37,4.31,9.5,7.64,"North America - a hybrid between a Mexican and a USA species","Like most hawthorns, the tree has stout thorns up to 2"" long."
-122.6939401956,45.5749044018413,"4","Quercus","Fagaceae",10.3,2017-05-09,"QURU","northern red oak","Poor",28,38,31,5,"staff","Gammans Park","Quercus rubra","BD","L","No","","",525.26,400.1,25.95,6,0.39,38.3,2.56,4.65,10.3,7.59,"North America - eastern Canada and eastern USA from the eastern edge of the Great Plains east to the Atlantic and south to Alabama, Georgia and Arkansas","Acorns take two years to mature and are an important food source for wildlife."
-122.694005042383,45.5749104334948,"5","Pseudotsuga","Pinaceae",33.2,2017-05-09,"PSME","Douglas-fir","Fair",102,43,44,4,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",8224.54,2533.4,164.33,32,2.08,115.5,7.72,14.03,31.1,23.82,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.694333285556,45.5748890299739,"6","Pseudotsuga","Pinaceae",32.1,2017-05-09,"PSME","Douglas-fir","Fair",95,35,39,12,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",7713.96,2333.7,151.38,30.8,2,85.3,5.7,10.36,22.9,18.06,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.693898911918,45.5749424715956,"7","Pseudotsuga","Pinaceae",28.4,2017-05-09,"PSME","Douglas-fir","Fair",103,40,40,6,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",6159.02,1874.5,121.59,26.8,1.74,99.7,6.66,12.1,26.8,20.5,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.694354972101,45.5749512438664,"8","Pseudotsuga","Pinaceae",27.2,2017-05-09,"PSME","Douglas-fir","Fair",105,45,29,13,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",5646.13,1709.7,110.9,25.5,1.65,85.3,5.7,10.36,22.9,17.71,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.693710511523,45.5750196413815,"9","Pseudotsuga","Pinaceae",35.2,2017-05-09,"PSME","Douglas-fir","Fair",97,56,45,5,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",9132.55,2876.5,186.58,34.3,2.22,148.1,9.9,17.99,39.9,30.12,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.694349886265,45.574984810129,"10","Pseudotsuga","Pinaceae",32.4,2017-05-09,"PSME","Douglas-fir","Fair",112,35,33,17,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",7854,2355.4,152.78,31.1,2.02,72,4.81,8.75,19.4,15.58,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.693635193478,45.5751840187371,"11","Pseudotsuga","Pinaceae",34.1,2017-05-09,"PSME","Douglas-fir","Fair",112,45,50,6,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",8636.39,2689.8,174.47,33,2.14,133,8.89,16.15,35.8,27.18,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.694336845141,45.5750694467286,"12","Quercus","Fagaceae",14.9,2017-05-09,"QURU","northern red oak","Fair",48,33,27,6,"staff","Gammans Park","Quercus rubra","BD","L","No","","",3142.87,981.1,63.64,30.6,1.99,32.7,2.19,3.97,8.8,8.15,"North America - eastern Canada and eastern USA from the eastern edge of the Great Plains east to the Atlantic and south to Alabama, Georgia and Arkansas","Acorns take two years to mature and are an important food source for wildlife."
-122.693669279912,45.575257825051,"13","Pseudotsuga","Pinaceae",30.3,2017-05-09,"PSME","Douglas-fir","Fair",92,43,48,4,"staff","Gammans Park","Pseudotsuga menziesii","CE","L","Yes","","",6861.34,2151.4,139.55,28.8,1.87,124.6,8.33,15.13,33.5,25.33,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico","Bracts on cones look like a mouse's feet and tail."
-122.68162433328,45.5994517514853,"14","Celtis","Cannabaceae",9.6,2017-05-11,"CEHAOC","common hackberry","Fair",28,30,28,5,"staff","East Delta Park","Celtis occidentalis","BD","M","No","","",1122.94,318,20.63,15.1,0.98,38.7,2.59,4.7,10.4,8.27,"North America - Great Plains to New England","Alternate leaves have uneven bases, similar to elms. Bark develops irregular warty bumps with age."
-122.681669423897,45.599306062942,"15","Prunus","Rosaceae",25.5,2017-05-11,"PRCE","flowering plum","Fair",39,37,51,6,"staff","East Delta Park","Prunus cerasifera","BD","S","No","","",6650.57,3876.4,251.44,70.6,4.58,68.8,4.6,8.35,18.5,17.53,"Asia - western Asia","Earliest of the flowering trees in spring."
-122.681699291315,45.5992041692715,"16","Prunus","Rosaceae",18.2,2017-05-11,"PRCE","flowering plum","Poor",36,38,35,5,"staff","East Delta Park","Prunus cerasifera","BD","S","No","","",1157.67,1704.1,110.54,14.5,0.94,49,3.28,5.95,13.2,10.17,"Asia - western Asia","Earliest of the flowering trees in spring."
-122.681777262427,45.5989855556179,"17","Crataegus","Rosaceae",12.4,2017-05-11,"CRLA","Lavalle hawthorn","Good",31,32,32,5,"staff","East Delta Park","Crataegus x lavalleei","BD","S","No","","",2273.56,560.4,36.35,28,1.82,44.7,2.99,5.42,12,10.23,"North America - a hybrid between a Mexican and a USA species","Like most hawthorns, the tree has stout thorns up to 2"" long."
