X,Y,OBJECTID,Inventory_Date,Species,DBH,Condition,TreeHeight,CrownWidthNS,CrownWidthEW,CollectedBy,Notes,CrownBaseHeight,GlobalID,StaffReview,created_user,created_date,last_edited_user,last_edited_date,UserID,Structural_Value,Carbon_Storage_lb,Carbon_Storage_value,Carbon_Sequestration_lb,Carbon_Sequestration_value,Stormwater_ft,Stormwater_value,Pollution_Removal_value,Pollution_Removal_oz,Total_Annual_Benefits,Family,Genus,Common_name,Genus_species,Functional_type,Size,Native,Edible,Nuisance,Origin,Species_factoid,PropertyID
-13658193.5323615,5712487.47556255,426,2017/05/09 00:00:00+00,PSME,37.4,Fair,105,44,57,staff,,4,{8413C6D7-038A-4685-AFCB-C3BCE4D90A24},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,1,10101.06,3223.3,209.07,36.8,2.39,150.3,10.05,18.25,40.4,30.69,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658212.5023173,5712485.09707892,427,2017/05/09 00:00:00+00,PSME,32.5,Fair,94,49,45,staff,,4,{D467A4AC-F4B3-4722-9F42-766ABA159B69},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2,7900.55,2460.8,159.62,31.3,2.03,133,8.89,16.15,35.8,27.06,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658254.2689723,5712490.58065388,428,2017/05/09 00:00:00+00,CRLA,9.7,Fair,23,28,27,staff,,3,{E43808F4-6E6F-4F6E-8E69-B3B981D1C963},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,3,1110.81,310.3,20.13,14.8,0.96,35.4,2.37,4.31,9.5,7.64,Rosaceae,Crataegus,Lavalle hawthorn,Crataegus x lavalleei,BD,S,No,,,North America - a hybrid between a Mexican and a USA species,"Like most hawthorns, the tree has stout thorns up to 2"" long.",137
-13658226.9459945,5712487.08868683,429,2017/05/09 00:00:00+00,QURU,10.3,Poor,28,38,31,staff,,5,{6C280C85-B53C-4AC3-9177-419D18E7AFDC},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,4,525.26,400.1,25.95,6,0.39,38.3,2.56,4.65,10.3,7.59,Fagaceae,Quercus,northern red oak,Quercus rubra,BD,L,No,,,"North America - eastern Canada and eastern USA from the eastern edge of the Great Plains east to the Atlantic and south to Alabama, Georgia and Arkansas",Acorns take two years to mature and are an important food source for wildlife.,137
-13658234.1647054,5712488.04792032,430,2017/05/09 00:00:00+00,PSME,33.2,Fair,102,43,44,staff,,4,{FF34125F-7C7E-4CCD-B554-97B263CCAED9},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,5,8224.54,2533.4,164.33,32,2.08,115.5,7.72,14.03,31.1,23.82,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658270.7045683,5712484.64404915,431,2017/05/09 00:00:00+00,PSME,32.1,Fair,95,35,39,staff,,12,{4D8AE3CF-7F25-472F-BD0E-FDA691B2DA15},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,6,7713.96,2333.7,151.38,30.8,2,85.3,5.7,10.36,22.9,18.06,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658222.3503161,5712493.14304556,432,2017/05/09 00:00:00+00,PSME,28.4,Fair,103,40,40,staff,,6,{2580A507-B812-482E-815F-15E80CC033A0},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,7,6159.02,1874.5,121.59,26.8,1.74,99.7,6.66,12.1,26.8,20.5,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658273.1187034,5712494.53812934,433,2017/05/09 00:00:00+00,PSME,27.2,Fair,105,45,29,staff,,13,{73944770-DD03-4B90-9D0B-28E4404C8BE7},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,8,5646.13,1709.7,110.9,25.5,1.65,85.3,5.7,10.36,22.9,17.71,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658201.3776801,5712505.41562402,434,2017/05/09 00:00:00+00,PSME,35.2,Fair,97,56,45,staff,,5,{09DD96B8-BA23-41C4-9CAB-B82AE4BE54BC},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,9,9132.55,2876.5,186.58,34.3,2.22,148.1,9.9,17.99,39.9,30.12,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658272.5525508,5712499.87628716,435,2017/05/09 00:00:00+00,PSME,32.4,Fair,112,35,33,staff,,17,{A9FD5F57-F0DF-43E8-8C38-619BC7F17231},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,10,7854,2355.4,152.78,31.1,2.02,72,4.81,8.75,19.4,15.58,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
